rank,name,mark,author,year
94,逃出绝命镇 Get Out,7.8,乔丹·皮尔,2017
95,热带疾病 ????????????,8.0,阿彼察邦·韦拉斯哈古,2004
96,黑女孩 La Noire de...,7.3,乌斯曼·塞姆班,1966
97,将军号 The General,9.1,巴斯特·基顿/克莱德·布鲁克曼,1926
98,死囚越狱 Un s'est échappé,8.5,罗伯特·布列松,1956
99,西部往事 C'era una volta il West,8.7,赛尔乔·莱昂内,1968
100,赤胆屠龙 Rio Bravo,8.1,霍华德·霍克斯,1959
101,房屋是黑的 ???? ???? ???,8.8,芙茹弗·法洛克扎德,1963
102,天涯沦落女 Sans toit ni loi,8.3,阿涅斯·瓦尔达,1985
103,母亲与娼妓 La Maman et la Putain,7.9,让·厄斯塔什,1973
104,自己去看 Иди и смотри,8.8,依莱姆·克里莫夫,1985
105,大白鲨 Jaws,7.8,史蒂文·斯皮尔伯格,1975
106,教父2 The Godfather: Part II,9.3,弗朗西斯·福特·科波拉,1974
107,不散,7.8,蔡明亮,2003
108,绿野仙踪 The Wizard of Oz,8.2,维克多·弗莱明,1939
109,野草莓 Smultronst?llet,8.8,英格玛·伯格曼,1957
110,历劫佳人 Touch of Evil,8.1,奥逊·威尔斯,1958
111,双虎屠龙 Liberty Valance,8.2,约翰·福特,1962
112,育婴奇谭 Bringing Up Baby,7.3,霍华德·霍克斯,1938
113,你逃我也逃 To Be or Not to Be,9.2,恩斯特·刘别谦,1942
114,醉酒的女人 Woman Under Influence,8.2,约翰·卡萨维蒂,1974
115,纳什维尔 Nashville,8.2,罗伯特·奥特曼,1975
116,威尼斯疑魂 Don't Look Now,7.2,尼古拉斯·罗伊格,1973
117,阿基尔，上帝的愤怒 Aguirre,8.3,沃纳·赫尔佐格,1972
118,同流者 Il conformista,8.6,贝纳尔多·贝托鲁奇,1970
119,德州电锯杀人狂 Texas Massacre,7.2,托比·霍珀,1974
120,怪形 The Thing,8.1,约翰·卡朋特,1982
121,血色将至 There Will Be Blood,8.4,保罗·托马斯·安德森,2007
122,黑客帝国 The Matrix,9.1,莉莉·沃卓斯基/拉娜·沃卓斯基,1999
123,石榴的颜色 ???? ??????,8.7,谢尔盖·帕拉杰诺夫,1969
124,荒漠怪客 Johnny Guitar,7.8,尼古拉斯·雷,1954
